,DayOfWeek,WeekOfMonth,Month,PopulationDensity,lag_1,lag_2,lag_3,States_Arunachal Pradesh,States_Assam,States_Bihar,States_Chandigarh,States_Chhattisgarh,States_DNH,States_Delhi,States_Goa,States_Gujarat,States_HP,States_Haryana,States_J&K,States_Jharkhand,States_Karnataka,States_Kerala,States_MP,States_Maharashtra,States_Manipur,States_Meghalaya,States_Mizoram,States_Nagaland,States_Odisha,States_Pondy,States_Punjab,States_Rajasthan,States_Sikkim,States_Tamil Nadu,States_Telangana,States_Tripura,States_UP,States_Uttarakhand,States_West Bengal
27,2,1,1,0.0031028368794326247,0.011115369873514755,0.0045994633959371405,0.041011881947106164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,2,1,1,0.009042553191489363,0.00306630893062476,0.011115369873514755,0.0045994633959371405,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
29,2,1,1,0.029521276595744685,0.003641241855116903,0.00306630893062476,0.011115369873514755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
30,3,1,1,0.04734042553191489,0.005940973553085472,0.003641241855116903,0.00306630893062476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,3,1,1,0.04929078014184397,0.23303947872748176,0.005940973553085472,0.003641241855116903,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,3,1,1,0.016312056737588655,0.2552702184745113,0.23303947872748176,0.005940973553085472,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
33,3,1,1,1.0,0.45975469528554996,0.2552702184745113,0.23303947872748176,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,3,1,1,0.07189716312056739,0.16328095055576847,0.45975469528554996,0.2552702184745113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,3,1,1,0.01524822695035461,0.596972019931008,0.16328095055576847,0.45975469528554996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36,3,1,1,0.009397163120567376,0.07474128018397853,0.596972019931008,0.16328095055576847,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,3,1,1,0.024822695035460998,0.05711000383288616,0.07474128018397853,0.596972019931008,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,3,1,1,0.029521276595744685,0.10310463779225756,0.05711000383288616,0.07474128018397853,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,3,1,1,0.01524822695035461,0.008815638175546186,0.10310463779225756,0.05711000383288616,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,3,1,1,0.025797872340425534,0.15044078190877727,0.008815638175546186,0.10310463779225756,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,3,1,1,0.01941489361702128,0.6063625910310463,0.15044078190877727,0.008815638175546186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,3,1,1,0.03085106382978724,0.48543503257953236,0.6063625910310463,0.15044078190877727,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
