,Usage
532,36.7
533,5.0
534,82.2
535,269.1
536,183.4
537,360.8
538,11.3
539,18.3
540,169.9
541,169.4
542,182.5
543,71.6
544,321.5
545,8.2
546,106.1
547,24.1
548,89.1
549,175.9
550,0.8
551,2.5
552,32.5
553,2.5
554,5.8
555,1.6
556,2.3
557,4.3
558,229.8
559,201.8
560,197.6
561,121.9
562,437.9
563,42.4
564,28.7
565,38.5
566,5.3
567,86.8
568,260.2
569,183.7
570,371.2
571,11.8
572,18.1
573,166.0
574,171.8
575,185.0
576,72.6
577,325.8
578,8.3
579,105.5
580,23.8
581,98.1
582,180.6
583,0.9
584,2.4
585,31.4
586,2.6
587,5.6
588,1.6
589,2.2
590,4.8
591,195.0
592,192.3
593,197.6
594,121.7
595,428.3
596,42.4
597,28.1
598,40.4
599,5.1
600,90.0
601,273.8
602,189.3
603,362.4
604,11.8
605,17.7
606,153.9
607,152.0
608,184.7
609,72.4
610,325.4
611,8.3
612,106.7
613,25.0
614,96.5
615,178.9
616,0.9
617,2.1
618,33.0
619,2.6
620,5.6
621,1.7
622,2.2
623,5.5
624,207.1
625,182.9
626,189.7
627,112.2
628,407.9
629,39.8
630,28.8
631,41.7
632,5.2
633,87.5
634,276.7
635,187.9
636,356.6
637,11.8
638,17.9
639,153.3
640,144.5
641,179.9
642,72.1
643,311.5
644,8.0
645,109.1
646,24.8
647,97.6
648,178.9
649,0.8
650,2.2
651,34.3
652,2.7
653,5.7
654,1.8
655,2.3
656,5.4
657,218.9
658,178.2
659,191.9
660,108.0
661,417.1
662,38.8
663,26.5
664,42.5
665,5.1
666,90.2
667,263.5
668,188.2
669,330.8
670,8.2
671,16.3
672,152.6
673,150.3
674,157.5
675,65.5
676,295.3
677,7.6
678,111.0
679,23.8
680,97.2
681,173.0
682,0.6
683,2.3
684,33.3
685,2.5
686,5.7
687,1.8
688,2.4
689,4.9
690,136.0
691,150.5
692,227.2
693,109.3
694,395.8
695,41.5
696,27.3
697,44.3
698,4.8
699,105.7
700,391.4
701,219.7
702,499.4
703,13.5
704,18.9
705,194.9
706,175.0
707,230.1
708,82.3
709,340.6
710,8.9
711,101.7
712,27.5
713,97.1
714,183.4
715,1.1
716,2.2
717,22.5
718,1.8
719,5.6
720,1.8
721,2.2
722,5.5
723,132.5
724,154.7
725,231.6
726,111.9
727,410.9
728,41.8
729,27.6
730,43.9
731,5.0
732,105.9
733,385.3
734,219.7
735,508.9
736,13.5
737,18.8
738,193.7
739,177.3
740,214.8
741,79.5
742,332.7
743,9.1
744,105.0
745,25.9
746,98.0
747,175.5
748,1.2
749,2.3
750,21.3
751,2.5
752,5.6
753,1.6
754,2.2
755,4.5
756,134.3
757,155.2
758,232.4
759,114.2
760,408.7
761,40.2
762,25.7
763,43.7
764,5.1
765,103.7
766,380.2
767,218.4
768,456.0
769,13.5
770,17.4
771,176.4
772,160.9
773,180.6
774,74.8
775,298.4
776,6.6
777,102.1
778,23.2
779,97.1
780,161.2
781,0.9
782,2.2
783,18.7
784,2.4
785,4.9
786,1.7
787,2.1
788,4.9
789,135.9
790,143.2
791,229.6
792,112.7
793,373.4
794,35.5
795,26.2
796,43.1
797,4.7
798,105.8
799,380.6
800,219.8
801,485.9
802,13.5
803,18.1
804,172.4
805,165.2
806,209.6
807,80.7
808,330.0
809,7.4
810,100.1
811,25.0
812,87.7
813,169.5
814,1.2
815,2.2
816,22.3
817,2.4
818,5.6
819,1.6
820,2.2
821,5.4
822,141.2
823,138.9
824,226.9
825,105.0
826,341.6
827,37.9
828,27.0
829,45.3
830,4.7
831,98.3
832,379.4
833,212.8
834,485.2
835,13.5
836,18.2
837,181.0
838,168.4
839,223.4
840,81.9
841,347.2
842,8.6
843,82.8
844,21.4
845,51.1
846,135.6
847,1.3
848,2.2
849,23.6
850,2.4
851,5.6
852,1.8
853,2.3
854,4.1
855,144.5
856,148.6
857,222.4
858,100.5
859,393.3
860,41.8
861,26.9
862,46.2
863,4.4
864,94.8
865,377.9
866,210.0
867,485.1
868,11.6
869,18.3
870,189.4
871,168.8
872,224.5
873,80.8
874,346.6
875,8.8
876,80.4
877,18.7
878,55.8
879,103.6
880,1.1
881,2.0
882,18.7
883,2.3
884,4.7
885,1.5
886,2.0
887,2.4
888,139.6
889,141.8
890,223.8
891,96.4
892,365.3
893,37.8
894,24.7
895,43.9
896,4.1
897,94.7
898,362.8
899,208.6
900,475.9
901,10.7
902,18.2
903,189.8
904,163.0
905,215.5
906,75.3
907,329.5
908,8.4
909,87.9
910,23.8
911,62.0
912,131.5
913,1.0
914,1.8
915,18.3
916,1.9
917,5.0
918,1.5
919,1.9
920,3.4
921,60.0
922,66.5
923,131.8
924,41.8
925,220.4
926,16.8
927,12.7
928,45.3
929,2.2
930,71.9
931,203.5
932,150.4
933,348.4
934,6.9
935,1.6
936,160.4
937,206.5
938,215.7
939,67.8
940,242.7
941,4.0
942,65.3
943,21.9
944,80.1
945,125.7
946,1.1
947,1.8
948,20.0
949,2.4
950,3.4
951,1.6
952,1.9
953,3.4
954,62.7
955,68.1
956,141.4
957,43.1
958,220.8
959,17.3
960,12.5
961,41.9
962,2.2
963,67.8
964,212.0
965,155.6
966,345.2
967,6.7
968,1.7
969,162.7
970,203.2
971,218.2
972,69.3
973,244.1
974,4.2
975,69.4
976,22.8
977,76.1
978,126.1
979,1.2
980,2.0
981,20.5
982,2.5
983,3.4
984,1.6
985,2.1
986,3.9
987,63.6
988,66.7
989,141.3
990,42.9
991,234.8
992,17.8
993,13.0
994,40.2
995,2.3
996,72.6
997,217.1
998,158.9
999,344.3
1000,7.1
1001,1.3
1002,164.2
1003,204.8
1004,221.6
1005,70.2
1006,245.2
1007,4.2
1008,71.2
1009,23.4
1010,77.3
1011,128.0
1012,1.3
1013,1.5
1014,20.9
1015,2.4
1016,3.4
1017,1.6
1018,2.0
1019,3.9
1020,63.5
1021,66.8
1022,145.1
1023,44.9
1024,241.2
1025,18.2
1026,12.6
1027,43.5
1028,2.2
1029,73.4
1030,221.5
1031,162.7
1032,353.3
1033,7.2
1034,1.7
1035,163.7
1036,200.5
1037,220.7
1038,70.3
1039,243.9
1040,4.2
1041,77.4
1042,23.0
1043,73.2
1044,127.6
1045,1.1
1046,1.5
1047,20.9
1048,2.4
1049,3.4
1050,1.6
1051,2.0
1052,3.8
1053,68.0
1054,71.3
1055,147.7
1056,43.8
1057,246.2
1058,18.3
1059,12.4
1060,43.4
1061,2.2
1062,75.7
1063,224.0
1064,165.5
1065,369.8
1066,7.2
1067,1.7
1068,165.8
1069,202.4
1070,226.7
1071,71.4
1072,246.5
1073,4.3
1074,78.3
1075,23.3
1076,72.8
1077,131.6
1078,1.0
1079,1.5
1080,19.7
1081,2.4
1082,3.4
1083,1.5
1084,2.0
1085,3.6
1086,72.1
1087,70.3
1088,149.0
1089,43.5
1090,241.2
1091,18.9
1092,13.3
1093,43.2
1094,2.2
1095,75.4
1096,229.7
1097,165.4
1098,376.0
1099,7.2
1100,1.8
1101,165.2
1102,194.0
1103,226.2
1104,71.4
1105,250.2
1106,4.3
1107,76.1
1108,24.0
1109,70.7
1110,136.8
1111,1.3
1112,1.4
1113,19.5
1114,2.3
1115,3.6
1116,1.5
1117,2.1
1118,2.6
1119,70.5
1120,71.2
1121,148.9
1122,44.1
1123,241.3
1124,18.5
1125,12.5
1126,41.5
1127,2.2
1128,70.8
1129,232.2
1130,165.8
1131,378.0
1132,7.2
1133,1.8
1134,163.2
1135,189.8
1136,228.8
1137,71.7
1138,250.6
1139,4.3
1140,75.1
1141,24.1
1142,70.3
1143,138.9
1144,1.2
1145,1.5
1146,19.8
1147,2.3
1148,3.8
1149,1.6
1150,2.0
1151,3.1
1152,92.0
1153,96.2
1154,175.3
1155,60.3
1156,260.1
1157,24.6
1158,17.0
1159,41.3
1160,2.9
1161,67.4
1162,215.2
1163,154.6
1164,305.6
1165,10.1
1166,11.4
1167,152.8
1168,144.5
1169,128.2
1170,64.6
1171,201.2
1172,5.5
1173,79.7
1174,24.3
1175,76.6
1176,115.4
1177,0.7
1178,2.2
1179,21.5
1180,2.5
1181,5.5
1182,1.7
1183,2.4
1184,4.2
1185,105.8
1186,105.6
1187,188.1
1188,63.2
1189,262.8
1190,27.7
1191,21.5
1192,42.9
1193,3.3
1194,71.2
1195,229.6
1196,156.5
1197,320.1
1198,10.1
1199,14.0
1200,156.7
1201,145.3
1202,133.8
1203,64.4
1204,218.6
1205,6.3
1206,80.0
1207,23.6
1208,77.4
1209,115.1
1210,0.7
1211,2.0
1212,24.3
1213,2.4
1214,5.7
1215,1.7
1216,2.0
1217,4.2
1218,110.1
1219,116.2
1220,201.3
1221,68.4
1222,268.2
1223,30.9
1224,25.2
1225,43.3
1226,3.6
1227,74.0
1228,234.9
1229,166.0
1230,350.4
1231,10.1
1232,15.3
1233,149.8
1234,145.8
1235,136.9
1236,63.5
1237,221.8
1238,6.0
1239,79.4
1240,22.7
1241,80.1
1242,117.4
1243,0.9
1244,2.0
1245,25.3
1246,2.5
1247,5.8
1248,1.8
1249,2.0
1250,4.0
1251,112.4
1252,119.5
1253,209.7
1254,67.6
1255,273.2
1256,31.9
1257,26.4
1258,42.8
1259,3.6
1260,75.1
1261,261.5
1262,175.0
1263,360.6
1264,12.3
1265,17.0
1266,148.7
1267,148.6
1268,146.8
